"filename", "language", "Ignore", "JSON", "Properties", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "XML", "TypeScript JSX", "CSS", "HTML", "Docker", "comment", "blank", "total"
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\InsertForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\components\insert-serial\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 32, 262
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\components\insert-tcp\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 23, 154
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\add-analyzer\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\add-parameter-card\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 9, 86
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\InsertForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 17, 57
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-analyzer-card\modal-form\ModalForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 42, 342
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\TableColumn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\TableForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 14, 102
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\TableRows.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 13, 28, 293
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\css\TableForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\components\serial-parameter-table\table-form\modifyFormValues.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 10, 56
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\serial-analyzers\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\Stations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\components\StationForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 14, 106
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\components\TimebaseForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 14, 158
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\stations\components\modifyTimebaseFormValues.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\TcpAnalyzers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\add-parameter-card\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 9, 86
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card\TcpAnalyzerCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 15, 46
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-analyzer-card\modal-form\ModalForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 29, 248
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\TcpParametersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 6, 19
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\TableColumn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\TableForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 15, 103
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\TableRows.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 12, 29, 279
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\css\TableForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\tcp-analyzers\components\tcp-parameter-table\table-form\modifyFormValues.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 9, 53
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\VirtualChannel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\add-virtual-channel-card\AddVirtualChannelCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 9, 86
